Date,Hour,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,Total Output
2020-01-01,1,11633,232,2948,1717,0,17,16547
2020-01-01,2,11637,231,2909,1382,0,14,16173
2020-01-01,3,11638,233,2880,1263,0,13,16027
2020-01-01,4,11632,233,2850,1184,0,13,15912
2020-01-01,5,11627,231,2950,1202,0,13,16023
2020-01-01,6,11636,233,2960,1248,0,14,16091
2020-01-01,7,11639,235,3143,1236,0,15,16268
2020-01-01,8,11633,443,3303,1044,0,16,16439
2020-01-01,9,11637,481,3410,990,4,14,16536
2020-01-01,10,11632,454,3375,1358,22,14,16855
2020-01-01,11,11637,434,3423,1713,46,13,17266
2020-01-01,12,11635,405,3372,1968,58,13,17451
2020-01-01,13,11639,374,3412,2195,59,13,17692
2020-01-01,14,11639,366,3349,2273,58,14,17699
2020-01-01,15,11644,355,3372,2249,78,13,17711
2020-01-01,16,11681,355,3372,1702,63,14,17187
2020-01-01,17,11679,270,3533,2157,13,15,17667
2020-01-01,18,11681,237,3765,2856,0,14,18553
2020-01-01,19,11678,236,3638,2952,0,15,18519
2020-01-01,20,11680,236,3559,2809,0,14,18298
2020-01-01,21,11674,235,3463,2852,0,14,18238
2020-01-01,22,11681,235,3436,3196,0,13,18561
2020-01-01,23,11678,236,3325,2740,0,13,17992
2020-01-01,24,11674,235,3086,2112,0,14,17121
2020-01-02,1,11679,235,3098,1378,0,14,16404
2020-01-02,2,11675,235,3055,1468,0,14,16447
2020-01-02,3,11674,234,3054,1138,0,14,16114
2020-01-02,4,11683,234,3046,950,0,14,15927
2020-01-02,5,11688,234,3119,1038,0,15,16094
2020-01-02,6,11682,233,3258,1387,0,18,16578
2020-01-02,7,11685,235,3385,2207,0,25,17537
2020-01-02,8,11690,235,3668,3371,1,43,19008
2020-01-02,9,11689,379,3734,3609,23,43,19477
2020-01-02,10,11683,504,3706,3477,100,36,19506
2020-01-02,11,11668,405,3721,3040,154,49,19037
2020-01-02,12,11687,499,3682,2903,171,49,18991
2020-01-02,13,11689,406,3766,2536,174,51,18622
2020-01-02,14,11690,502,3668,3139,87,53,19139
2020-01-02,15,11691,404,3704,3186,58,49,19092
2020-01-02,16,11691,501,3810,3017,25,40,19084
2020-01-02,17,11684,301,3770,3223,7,35,19020
2020-01-02,18,11681,272,4089,3546,0,35,19623
2020-01-02,19,11682,238,4084,3599,0,35,19638
2020-01-02,20,11678,233,3986,3497,0,35,19429
2020-01-02,21,11677,233,3712,3346,0,35,19003
2020-01-02,22,11673,233,3706,2945,0,34,18591
2020-01-02,23,11682,232,3520,2748,0,34,18216
2020-01-02,24,11689,232,3165,2162,0,27,17275
2020-01-03,1,11681,230,3003,1462,0,21,16397
2020-01-03,2,11683,235,3042,1208,0,18,16186
2020-01-03,3,11679,234,3091,851,0,18,15873
